126,Osteoarthritis,Knee pain,,Hip pain,,Shoulder pain,,Back pain,,Leg pain,,Hand or finger pain,,Joint pain,,Knee swelling,,Ankle pain,,Elbow pain,,Muscle pain,,Knee weakness,,Osteoarthritis," physical therapy exercises, "," lipid panel, "," magnetic resonance imaging, "," hemoglobin a1c measurement, ",other non-or therapeutic procedures on musculoskeletal system and,examination of foot,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresPhysical therapy exercises (Exercises),{commonTestsAndProceduresLipid panel,{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresHemoglobin A1c measurement (Hemoglobin a1c test),{commonTestsAndProceduresOther non-OR therapeutic procedures on musculoskeletal system,{commonTestsAndProceduresExamination of foot],The most commonly prescribed drugs for patients with osteoarthritis include","celecoxib (celebrex),"," triamcinolone topical product, "," meloxicam, "," bupivacaine, "," sodium hyaluronate, "," cortisone, "," chondroitin-glucosamine, "," piroxicam, "," diclofenac / misoprostol, "," chondroitin, "," mepivacaine (carbocaine), ",insulin isophane-insulin regular and,ethyl chloride topical,".,[{commonMedicationsCelecoxib (Celebrex),{commonMedicationsTriamcinolone Topical Product,{commonMedicationsMeloxicam,{commonMedicationsBupivacaine,{commonMedicationsSodium Hyaluronate,{commonMedicationsCortisone,{commonMedicationsChondroitin-Glucosamine,{commonMedicationsPiroxicam,{commonMedicationsChondroitin,{commonMedicationsMepivacaine (Carbocaine),{commonMedicationsInsulin Isophane-Insulin Regular,{commonMedicationsEthyl Chloride Topical],Groups of people at highest risk for osteoarthritis include ","age 75+ years,",age 60-74 years and,age 45-59 years.,"On the other hand, age 5-14 years, age 1-4 years, and age < 1 years almost never get osteoarthritis.,Within all the people who go to their doctor with osteoarthritis, 77% report having knee pain, 41% report having hip pain, and 41% report having shoulder pain. ","The symptoms that are highly suggestive of osteoarthritis are knee pain, joint pain, knee swelling, and knee weakness, although you may still have osteoarthritis without those symptoms.",,,,,,,
127,Thyroid disease,Neck mass,,Difficulty in swallowing,,Hot flashes,,Neck swelling,,Hostile behavior,,Lump in throat,,Too little hair,,Drainage in throat,,Double vision,,Throat feels tight,,Blindness,,Restlessness,,Thyroid disease," lipid panel, "," psychotherapy, "," mental health counseling, "," hemoglobin a1c measurement, ",examination of breast and,other diagnostic procedures (interview; evaluation; consultation),".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresUltrasonography (Ultrasound),{commonTestsAndProceduresLipid panel,{commonTestsAndProceduresPsychotherapy,{commonTestsAndProceduresMental health counseling,{commonTestsAndProceduresHemoglobin A1c measurement (Hemoglobin a1c test),{commonTestsAndProceduresExamination of breast,{commonTestsAndProceduresOther diagnostic procedures (interview; evaluation; consultation)],The most commonly prescribed drugs for patients with thyroid disease include","thyroxine (synthroid),"," hydrochlorothiazide / irbesartan, "," thyroid (usp) (armour thyroid), "," captopril, "," triiodothyronine (cytomel), "," paliperidone (invega), "," calcium-vitamin d, "," calcitriol, "," bisoprolol / hydrochlorothiazide, "," norfloxacin, "," cinnamon preparation, ",ferrous gluconate and,turmeric extract,".,[{commonMedicationsThyroxine (Synthroid),{commonMedicationsThyroid (Usp) (Armour Thyroid),{commonMedicationsCaptopril,{commonMedicationsTriiodothyronine (Cytomel),{commonMedicationsPaliperidone (Invega),{commonMedicationsCalcium-Vitamin D,{commonMedicationsCalcitriol,{commonMedicationsNorfloxacin,{commonMedicationsCinnamon Preparation,{commonMedicationsFerrous Gluconate,{commonMedicationsTurmeric Extract],Groups of people at highest risk for thyroid disease include ",age 60-74 years,"sex == female.,Within all the people who go to their doctor with thyroid disease, 19% report having neck mass, 14% report having difficulty in swallowing, and 6% report having lump in throat. ","The symptoms that are highly suggestive of thyroid disease are neck mass and lump in throat, although you may still have thyroid disease without those symptoms.",,,,,,,,,
128,Pharyngitis,Cough,,Fever,,Sore throat,,Wheezing,,Difficulty in swallowing,,Hoarse voice,,Coryza,,Hurts to breath,,Sharp abdominal pain,,Nausea,,Ear pain,,Nasal congestion,,Pharyngitis," nebulizer therapy, "," excision, "," rectal examination, "," corneal transplant, ",procedures on spleen and,removal of ectopic pregnancy,".,[{commonTestsAndProceduresExamination of breast,{commonTestsAndProceduresDepression screen (Depression screening),{commonTestsAndProceduresNebulizer therapy,{commonTestsAndProceduresExcision (Removal),{commonTestsAndProceduresRectal examination,{commonTestsAndProceduresCorneal transplant,{commonTestsAndProceduresProcedures on spleen (Spleen operation),{commonTestsAndProceduresRemoval of ectopic pregnancy],The most commonly prescribed drugs for patients with pharyngitis include","guaifenesin (mucinex),"," robitussin dm, "," pregabalin (lyrica), "," prednisolone, "," ipratropium, "," doxycycline, "," chlorpheniramine / phenindamine / phenylpropanolamine, "," mecamylamine, "," grepafloxacin (raxar), "," malathion topical, "," gemtuzumab (mylotarg), ",gadoteridol (prohance) and,carbinoxamine / dextromethorphan / phenylephrine,".,[{commonMedicationsGuaifenesin (Mucinex),{commonMedicationsRobitussin Dm,{commonMedicationsPregabalin (Lyrica),{commonMedicationsPrednisolone,{commonMedicationsIpratropium,{commonMedicationsDoxycycline,{commonMedicationsMecamylamine,{commonMedicationsGrepafloxacin (Raxar),{commonMedicationsMalathion Topical,{commonMedicationsGemtuzumab (Mylotarg),{commonMedicationsGadoteridol (Prohance)],Groups of people at highest risk for pharyngitis include ","race/ethnicity = other,","race/ethnicity = hispanic,","sex == male,","age 5-14 years,",age 1-4 years and,age < 1 years.,"On the other hand, age 75+ years and age 45-59 years almost never get pharyngitis.,Within all the people who go to their doctor with pharyngitis, 88% report having cough, 85% report having fever, and 80% report having sore throat. ","The symptoms that are highly suggestive of pharyngitis are wheezing, difficulty in swallowing, hoarse voice, and hurts to breath, although you may still have pharyngitis without those symptoms.",,,,
129,Chronic rheumatic fever,Shortness of breath,,Sharp chest pain,,Palpitations,,Difficulty breathing,,Dizziness,,Chest tightness,,Increased heart rate,,Drainage in throat,,Restlessness,,Throat feels tight,,Smoking problems,,Fluid in ear,,Chronic rheumatic fever," echocardiography, "," complete physical skin exam performed (ml), "," lipid panel, "," cardiac monitoring, ",other diagnostic procedures (interview; evaluation; consultation) and,hemoglobin a1c measurement,".,[{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresUltrasonography (Ultrasound),{commonTestsAndProceduresEchocardiography,{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresLipid panel,{commonTestsAndProceduresCardiac monitoring (Cardiac monitor),{commonTestsAndProceduresOther diagnostic procedures (interview; evaluation; consultation),{commonTestsAndProceduresHemoglobin A1c measurement (Hemoglobin a1c test)],The most commonly prescribed drugs for patients with chronic rheumatic fever include","warfarin,"," digoxin, "," carvedilol, "," penicillin, "," spironolactone, "," terazosin, "," amiodarone, "," hyzaar, "," dobutamine, "," isosorbide mononitrate (ismo), "," metolazone, ",sotalol and,glyburide / metformin,".,[{commonMedicationsWarfarin,{commonMedicationsDigoxin,{commonMedicationsCarvedilol,{commonMedicationsPenicillin,{commonMedicationsSpironolactone,{commonMedicationsTerazosin,{commonMedicationsAmiodarone,{commonMedicationsHyzaar,{commonMedicationsDobutamine,{commonMedicationsIsosorbide Mononitrate (Ismo),{commonMedicationsMetolazone,{commonMedicationsSotalol],Groups of people at highest risk for chronic rheumatic fever include ","race/ethnicity = other,",age 75+ years and,age 60-74 years.,"On the other hand, age < 1 years almost never get chronic rheumatic fever.,Within all the people who go to their doctor with chronic rheumatic fever, 52% report having shortness of breath, 42% report having sharp chest pain, and 33% report having palpitations. ","The symptoms that are highly suggestive of chronic rheumatic fever are palpitations, although you may still have chronic rheumatic fever without those symptoms.",,,,,,,
130,Hypocalcemia,Shortness of breath,,Sharp abdominal pain,,Loss of sensation,,Seizures,,Weakness,,Paresthesia,,Sharp chest pain,,Constipation,,Abnormal involuntary movements,,Diarrhea,,Nausea,,Leg weakness,,Hypocalcemia," intravenous fluid replacement, "," radiographic imaging procedure, "," kidney function tests, "," electrocardiogram, ",glucose measurement and,urinalysis,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresUrinalysis],The most commonly prescribed drugs for patients with hypocalcemia include","calcitriol,"," calcium carbonate, "," ergocalciferol, "," sodium polystyrene sulfonate (kayexalate), "," glubionate calcium, "," ganciclovir, "," interferon alfa-2b (intron a), "," acetaminophen / phenyltoloxamine, "," iodine (i-deal), "," mexiletine, "," dexamethasone ophthalmic, ",vitamin k 1 (mephyton) and,dalteparin (fragmin),".,[{commonMedicationsCalcitriol,{commonMedicationsCalcium Carbonate,{commonMedicationsErgocalciferol,{commonMedicationsSodium Polystyrene Sulfonate (Kayexalate),{commonMedicationsGlubionate Calcium,{commonMedicationsGanciclovir,{commonMedicationsInterferon Alfa-2B (Intron A),{commonMedicationsIodine (I-Deal),{commonMedicationsMexiletine,{commonMedicationsDexamethasone Ophthalmic,{commonMedicationsVitamin K 1 (Mephyton),{commonMedicationsDalteparin (Fragmin)],Groups of people at highest risk for hypocalcemia include ","race/ethnicity = other,","age 30-44 years,",age 60-74 years and,age < 1 years.,"On the other hand, age 1-4 years almost never get hypocalcemia.,Within all the people who go to their doctor with hypocalcemia, 49% report having shortness of breath, 49% report having sharp abdominal pain, and 43% report having paresthesia. ","The symptoms that are highly suggestive of hypocalcemia are paresthesia and leg weakness, although you may still have hypocalcemia without those symptoms.",,,,,,
131,Macular degeneration,Diminished vision,,Spots or clouds in vision,,Symptoms of eye,,Pain in eye,,Lacrimation,,Blindness,,Itchiness of eye,,Foreign body sensation in eye,,Double vision,,Eye burns or stings,,Bleeding from eye,,Abnormal movement of eyelid,,Macular degeneration," other therapeutic procedures on eyelids; conjunctiva; cornea, "," other intraocular therapeutic procedures, "," other therapeutic procedures, "," diagnostic procedures on eye, ",lens and cataract procedures and,other extraocular muscle and orbit therapeutic procedures,".,[{commonTestsAndProceduresOphthalmic examination and evaluation (Eye exam),{commonTestsAndProceduresOphthalmologic and otologic diagnosis and treatment,{commonTestsAndProceduresOther therapeutic procedures on eyelids; conjunctiva; cornea,{commonTestsAndProceduresOther intraocular therapeutic procedures,{commonTestsAndProceduresOther therapeutic procedures,{commonTestsAndProceduresDiagnostic procedures on eye,{commonTestsAndProceduresLens and cataract procedures,{commonTestsAndProceduresOther extraocular muscle and orbit therapeutic procedures],The most commonly prescribed drugs for patients with macular degeneration include","bevacizumab (avastin),"," tropicamide ophthalmic, "," phenylephrine (duramax), "," prednisolone ophthalmic, "," latanoprost, "," ranibizumab ophthalmic, "," proparacaine ophthalmic, "," brimonidine ophthalmic, "," travoprost (travatan), "," gatifloxacin (zymar), "," nepafenac ophthalmic, ",bimatoprost ophthalmic and,benoxinate-fluorescein ophthalmic,".,[{commonMedicationsBevacizumab (Avastin),{commonMedicationsTropicamide Ophthalmic,{commonMedicationsPhenylephrine (Duramax),{commonMedicationsPrednisolone Ophthalmic,{commonMedicationsLatanoprost,{commonMedicationsRanibizumab Ophthalmic,{commonMedicationsProparacaine Ophthalmic,{commonMedicationsBrimonidine Ophthalmic,{commonMedicationsTravoprost (Travatan),{commonMedicationsGatifloxacin (Zymar),{commonMedicationsNepafenac Ophthalmic,{commonMedicationsBimatoprost Ophthalmic,{commonMedicationsBenoxinate-Fluorescein Ophthalmic],Groups of people at highest risk for macular degeneration include ",age 75+ years,age 60-74 years.,"On the other hand, age 5-14 years and age < 1 years almost never get macular degeneration.,Within all the people who go to their doctor with macular degeneration, 80% report having diminished vision, 45% report having spots or clouds in vision, and 25% report having symptoms of eye. ","The symptoms that are highly suggestive of macular degeneration are diminished vision, spots or clouds in vision, symptoms of eye, blindness, foreign body sensation in eye, double vision, eye burns or stings, and bleeding from eye, although you may still have macular degeneration without those symptoms.",,,,,,,,
132,Pneumonia,Cough,,Fever,,Shortness of breath,,Sharp chest pain,,Nasal congestion,,Difficulty breathing,,Vomiting,,Weakness,,Sore throat,,Wheezing,,Coryza,,Chills,,Pneumonia," hematologic tests, "," complete blood count, "," intravenous fluid replacement, "," kidney function tests, ",electrolytes panel and,glucose measurement,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresGlucose measurement (Glucose level)],The most commonly prescribed drugs for patients with pneumonia include","azithromycin,"," ceftriaxone, "," levofloxacin (levaquin), "," moxifloxacin (avelox), "," ipratropium, "," levalbuterol (xopenex), "," zosyn, "," robitussin ac, "," cefepime, "," cefotaxime, "," norepinephrine, ",ceftazidime and,piperacillin (zosyn),".,[{commonMedicationsAzithromycin,{commonMedicationsCeftriaxone,{commonMedicationsLevofloxacin (Levaquin),{commonMedicationsMoxifloxacin (Avelox),{commonMedicationsIpratropium,{commonMedicationsLevalbuterol (Xopenex),{commonMedicationsZosyn,{commonMedicationsRobitussin Ac,{commonMedicationsCefepime,{commonMedicationsCefotaxime,{commonMedicationsNorepinephrine,{commonMedicationsCeftazidime,{commonMedicationsPiperacillin (Zosyn)],Groups of people at highest risk for pneumonia include ","age 75+ years,",age 1-4 years and,"age < 1 years.,Within all the people who go to their doctor with pneumonia, 82% report having cough, 75% report having fever, and 69% report having shortness of breath.",,,,,,,,,
133,Cold sore,Skin rash,,Lip sore,,Mouth ulcer,,Fever,,Lip swelling,,Skin lesion,,Sore throat,,Vaginal itching,,Vaginal discharge,,Itching of skin,,Skin swelling,,Peripheral edema,,Cold sore," examination of breast, "," chlamydia test, "," microscopic examination (bacterial smear; culture; toxicology), "," pap smear, ",rectal examination and,depression screen,".,[{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresPelvis exam,{commonTestsAndProceduresExamination of breast,{commonTestsAndProceduresChlamydia test,{commonTestsAndProceduresMicroscopic examination (bacterial smear; culture; toxicology),{commonTestsAndProceduresPap smear,{commonTestsAndProceduresRectal examination,{commonTestsAndProceduresDepression screen (Depression screening)],The most commonly prescribed drugs for patients with cold sore include","acyclovir,"," valacyclovir (valtrex), "," famciclovir, "," penciclovir topical, "," betamethasone-clotrimazole topical, "," emtricitabine-tenofovir, "," docosanol topical, "," efavirenz/emtricitabine/tenofovir, "," kaletra, "," efavirenz, "," tenofovir, ",zolmitriptan (zomig) and,imiquimod topical,".,[{commonMedicationsAcyclovir,{commonMedicationsValacyclovir (Valtrex),{commonMedicationsFamciclovir,{commonMedicationsPenciclovir Topical,{commonMedicationsBetamethasone-Clotrimazole Topical,{commonMedicationsEmtricitabine-Tenofovir,{commonMedicationsDocosanol Topical,{commonMedicationsKaletra,{commonMedicationsEfavirenz,{commonMedicationsTenofovir,{commonMedicationsZolmitriptan (Zomig),{commonMedicationsImiquimod Topical],Groups of people at highest risk for cold sore include ","age 15-29 years.,Within all the people who go to their doctor with cold sore, 50% report having skin rash, 38% report having lip sore, and 35% report having mouth ulcer. ","The symptoms that are highly suggestive of cold sore are lip sore, mouth ulcer, and lip swelling, although you may still have cold sore without those symptoms.",,,,,,,,,,
134,Premature ventricular contractions (PVCs),Palpitations,,Irregular heartbeat,,Sharp chest pain,,Fainting,,Shortness of breath,,Increased heart rate,,Difficulty breathing,,Chest tightness,,Sleepiness,,Apnea,,Impotence,,Back cramps or spasms,,Premature ventricular contractions (PVCs)," complete blood count, "," ultrasonography, "," echocardiography, "," kidney function tests, ",cardiac monitoring and,cardiac enzymes measurement,".,[{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresUltrasonography (Ultrasound),{commonTestsAndProceduresEchocardiography,{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresCardiac monitoring (Cardiac monitor),{commonTestsAndProceduresCardiac enzymes measurement (Cardiac enzymes test)],The most commonly prescribed drugs for patients with premature ventricular contractions (pvcs) include","flecainide,"," amlodipine / atorvastatin, "," modafinil (provigil), "," nystatin, "," estazolam, "," trospium (sanctura), "," piperonyl butoxide-pyrethrins topical, "," magnesium chloride, "," methylcellulose (citrucel), "," guar gum, "," dipyridamole, ",amlodipine / olmesartan and,bicalutamide (casodex),".,[{commonMedicationsFlecainide,{commonMedicationsModafinil (Provigil),{commonMedicationsNystatin,{commonMedicationsEstazolam,{commonMedicationsTrospium (Sanctura),{commonMedicationsPiperonyl Butoxide-Pyrethrins Topical,{commonMedicationsMagnesium Chloride,{commonMedicationsMethylcellulose (Citrucel),{commonMedicationsGuar Gum,{commonMedicationsDipyridamole,{commonMedicationsBicalutamide (Casodex)],Groups of people at highest risk for premature ventricular contractions (pvcs) include ",age 75+ years,age 60-74 years.,"On the other hand, age 1-4 years and age < 1 years almost never get premature ventricular contractions (pvcs).,Within all the people who go to their doctor with premature ventricular contractions (pvcs), 73% report having palpitations, 59% report having irregular heartbeat, and 40% report having sharp chest pain. ","The symptoms that are highly suggestive of premature ventricular contractions (pvcs) are palpitations, irregular heartbeat, increased heart rate, and back cramps or spasms, although you may still have premature ventricular contractions (pvcs) without those symptoms.",,,,,,,,
135,Chancroid,Pain in eye,,Shoulder cramps or spasms,,Facial pain,,Ankle pain,,Wrist pain,,Pain during pregnancy,,Excessive anger,,Joint stiffness or tightness,,Pain or soreness of breast,,Knee lump or mass,,Fatigue,,Excessive urination at night,,Chancroid," coronary thrombolysis, "," control of epistaxis, "," ct scan abdomen, "," procedures on spleen, ",bone marrow transplant and,removal of ectopic pregnancy,".,[{commonTestsAndProceduresCorneal transplant,{commonTestsAndProceduresTransurethral resection of prostate (TURP) (Turp),{commonTestsAndProceduresCoronary thrombolysis,{commonTestsAndProceduresControl of epistaxis,{commonTestsAndProceduresCT scan abdomen (Ct of abdomen),{commonTestsAndProceduresProcedures on spleen (Spleen operation),{commonTestsAndProceduresBone marrow transplant (Bmt),{commonTestsAndProceduresRemoval of ectopic pregnancy],The most commonly prescribed drugs for patients with chancroid include","valacyclovir (valtrex),"," bupropion (wellbutrin), "," ciprofloxacin, "," ibuprofen, "," chlorpheniramine / phenindamine / phenylpropanolamine, "," air, "," mecamylamine, "," troleandomycin, "," indium oxyquinoline in-111 (indium in-111 oxyquinoline), "," pipecuronium (arduan), "," grepafloxacin (raxar), ",rabbit anti-human t-lymphocyte globulin (thymoglobulin) and,iopanoic acid,".,[{commonMedicationsValacyclovir (Valtrex),{commonMedicationsBupropion (Wellbutrin),{commonMedicationsCiprofloxacin,{commonMedicationsIbuprofen,{commonMedicationsAir,{commonMedicationsMecamylamine,{commonMedicationsTroleandomycin,{commonMedicationsIndium Oxyquinoline In-111 (Indium In-111 Oxyquinoline),{commonMedicationsPipecuronium (Arduan),{commonMedicationsGrepafloxacin (Raxar),{commonMedicationsRabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin),{commonMedicationsIopanoic Acid],Groups of people at highest risk for chancroid include ","sex == male,",age 45-59 years and,"race/ethnicity = white.,Within all the people who go to their doctor with chancroid, 32% report having preoccupation with sex, 32% report having wrist cramps or spasms, and 32% report having joint cramps or spasms. ","The symptoms that are highly suggestive of chancroid are shoulder cramps or spasms, joint stiffness or tightness, and knee lump or mass, although you may still have chancroid without those symptoms.",,,,,,,,
136,Testicular cancer,Mass in scrotum,,Anxiety and nervousness,,Ache all over,,Nausea,,Groin pain,,Symptoms of the scrotum and testes,,Skin on arm or hand looks infected,,Blood in urine,,Chills,,Diminished hearing,,Pain in testicles,,Painful urination,,Testicular cancer," radiographic imaging procedure, "," x-ray computed tomography, "," complete physical skin exam performed (ml), "," glucose measurement, ",electrolytes panel and,rectal examination,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresX-ray computed tomography (Scan ct),{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresRectal examination],The most commonly prescribed drugs for patients with testicular cancer include","cisplatin,"," bleomycin, "," palonosetron (aloxi), "," prochlorperazine (compro), "," dexamethasone topical product, "," filgrastim (neupogen), "," pegfilgrastim (neulasta), "," testosterone, "," dexamethasone, "," epirubicin, "," imatinib (gleevec), ",etoposide and,cefepime,".,[{commonMedicationsCisplatin,{commonMedicationsBleomycin,{commonMedicationsPalonosetron (Aloxi),{commonMedicationsProchlorperazine (Compro),{commonMedicationsDexamethasone Topical Product,{commonMedicationsFilgrastim (Neupogen),{commonMedicationsPegfilgrastim (Neulasta),{commonMedicationsTestosterone,{commonMedicationsDexamethasone,{commonMedicationsEpirubicin,{commonMedicationsImatinib (Gleevec),{commonMedicationsEtoposide,{commonMedicationsCefepime],Groups of people at highest risk for testicular cancer include ","age 30-44 years,",sex == male and,age 15-29 years.,"On the other hand, age 75+ years, age 1-4 years, sex == female, and age < 1 years almost never get testicular cancer.,Within all the people who go to their doctor with testicular cancer, 36% report having mass in scrotum, 27% report having ache all over, and 27% report having anxiety and nervousness. ","The symptoms that are highly suggestive of testicular cancer are mass in scrotum, symptoms of the scrotum and testes, skin on arm or hand looks infected, and pain in testicles, although you may still have testicular cancer without those symptoms.",,,,,,,
137,Hydrocephalus,Headache,,Seizures,,Vomiting,,Depressive or psychotic symptoms,,Problems with movement,,Difficulty speaking,,Paresthesia,,Focal weakness,,Disturbance of memory,,Abnormal involuntary movements,,Arm stiffness or tightness,,Lack of growth,,Hydrocephalus," magnetic resonance imaging, "," other diagnostic procedures (interview; evaluation; consultation), "," occupational therapy assessment, "," physical therapy exercises, ",cat scan of head and,insertion; replacement; or removal of extracranial ventricular shunt,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresX-ray computed tomography (Scan ct),{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresOther diagnostic procedures (interview; evaluation; consultation),{commonTestsAndProceduresOccupational therapy assessment (Speech therapy),{commonTestsAndProceduresPhysical therapy exercises (Exercises),{commonTestsAndProceduresCAT scan of head (Head ct),{commonTestsAndProceduresInsertion; replacement; or removal of extracranial ventricular shunt],The most commonly prescribed drugs for patients with hydrocephalus include","levetiracetam (keppra),"," lamotrigine (lamictal), "," phenobarbital, "," baclofen, "," polyethylene glycol 3350 (miralax), "," carbamazepine, "," oxcarbazepine (trileptal), "," biotin, "," kanamycin, "," micafungin, "," factor viii, ",thrombin topical and," sodium chloride, hypertonic, ophthalmic ",".,[{commonMedicationsLevetiracetam (Keppra),{commonMedicationsLamotrigine (Lamictal),{commonMedicationsPhenobarbital,{commonMedicationsBaclofen,{commonMedicationsPolyethylene Glycol 3350 (Miralax),{commonMedicationsCarbamazepine,{commonMedicationsOxcarbazepine (Trileptal),{commonMedicationsBiotin,{commonMedicationsKanamycin,{commonMedicationsMicafungin,{commonMedicationsFactor Viii,{commonMedicationsThrombin Topical,{commonMedicationsSodium Chloride, Hypertonic, Ophthalmic],Groups of people at highest risk for hydrocephalus include ","race/ethnicity = hispanic,","age 5-14 years,",age 1-4 years and,"age < 1 years.,Within all the people who go to their doctor with hydrocephalus, 54% report having headache, 49% report having seizures, and 29% report having vomiting. ","The symptoms that are highly suggestive of hydrocephalus are difficulty speaking, arm stiffness or tightness, and lack of growth, although you may still have hydrocephalus without those symptoms.",,,,,,,
138,Breast cancer,Lump or mass of breast,,Pain or soreness of breast,,Hot flashes,,Bleeding or discharge from nipple,,Joint stiffness or tightness,,Breast cancer,," complete physical skin exam performed (ml), ",," mammography, ",,ultrasonography,,"tamoxifen,",," letrozole (femara), ",," zoledronic acid (reclast), ",," cyclophosphamide, "," doxorubicin, "," dexamethasone, "," pegfilgrastim (neulasta), "," exemestane (aromasin), ",capecitabine (xeloda) and,palonosetron (aloxi),".,[{commonMedicationsTamoxifen,{commonMedicationsAnastrozole (Arimidex),{commonMedicationsLetrozole (Femara),{commonMedicationsTrastuzumab (Herceptin),{commonMedicationsZoledronic Acid (Reclast),{commonMedicationsPaclitaxel (Taxol),{commonMedicationsCyclophosphamide,{commonMedicationsDoxorubicin,{commonMedicationsDexamethasone,{commonMedicationsPegfilgrastim (Neulasta),{commonMedicationsExemestane (Aromasin),{commonMedicationsCapecitabine (Xeloda),{commonMedicationsPalonosetron (Aloxi)],Groups of people at highest risk for breast cancer include ","age 75+ years,","age 60-74 years,",sex == female and,age 45-59 years.,"On the other hand, sex == male, age 5-14 years, age 1-4 years, and age < 1 years almost never get breast cancer.,Within all the people who go to their doctor with breast cancer, 21% report having lump or mass of breast, 9% report having pain or soreness of breast, and 7% report having hot flashes. ","The symptoms that are highly suggestive of breast cancer are joint stiffness or tightness, although you may still have breast cancer without those symptoms.",,,,,,,,,,,,,,,,,,,,
139,Anemia due to malignancy,Fatigue,,Shortness of breath,,Difficulty in swallowing,,Pain of the anus,,Nosebleed,,Vaginal pain,,Mouth pain,,Hot flashes,,Flatulence,,Anemia due to malignancy,," complete physical skin exam performed (ml), ",," x-ray computed tomography, ",,pelvis exam,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresX-ray computed tomography (Scan ct),{commonTestsAndProceduresExamination of breast,{commonTestsAndProceduresPelvis exam],The most commonly prescribed drugs for patients with anemia due to malignancy include","darbepoetin alfa (aranesp),"," dexamethasone topical product, "," pegfilgrastim (neulasta), "," zoledronic acid (reclast), "," leuprolide (lupron), "," gemcitabine (gemzar), "," paclitaxel (taxol), "," epoetin alfa (procrit), "," lactulose, "," pemetrexed (alimta), "," ferric oxide, saccharated (venofer), ",filgrastim (neupogen) and,rituximab,".,[{commonMedicationsDarbepoetin Alfa (Aranesp),{commonMedicationsDexamethasone Topical Product,{commonMedicationsPegfilgrastim (Neulasta),{commonMedicationsZoledronic Acid (Reclast),{commonMedicationsLeuprolide (Lupron),{commonMedicationsGemcitabine (Gemzar),{commonMedicationsPaclitaxel (Taxol),{commonMedicationsEpoetin Alfa (Procrit),{commonMedicationsLactulose,{commonMedicationsPemetrexed (Alimta),{commonMedicationsFerric Oxide, Saccharated (Venofer),{commonMedicationsFilgrastim (Neupogen),{commonMedicationsRituximab],Groups of people at highest risk for anemia due to malignancy include ",age 75+ years,age 60-74 years.,"On the other hand, age 15-29 years and age < 1 years almost never get anemia due to malignancy.,Within all the people who go to their doctor with anemia due to malignancy, 42% report having fatigue, 35% report having shortness of breath, and 15% report having difficulty in swallowing. ","The symptoms that are highly suggestive of anemia due to malignancy are hot flashes and flatulence, although you may still have anemia due to malignancy without those symptoms.",,,,,,,,,,,,,,
